Algoritmo,Archivo,Tiempo_ms
Greedy1,data/inputs/testcases_3_1.txt,32.5807
Greedy2,data/inputs/testcases_3_1.txt,16.4138
DP,data/inputs/testcases_3_1.txt,39.7631
BruteForce,data/inputs/testcases_3_1.txt,16.9763
Greedy1,data/inputs/testcases_3_2.txt,31.2865
Greedy2,data/inputs/testcases_3_2.txt,15.9245
DP,data/inputs/testcases_3_2.txt,68.6083
BruteForce,data/inputs/testcases_3_2.txt,15.473
Greedy1,data/inputs/testcases_3_3.txt,29.9883
Greedy2,data/inputs/testcases_3_3.txt,15.05
DP,data/inputs/testcases_3_3.txt,26.3175
BruteForce,data/inputs/testcases_3_3.txt,16.5996
Greedy1,data/inputs/testcases_5_1.txt,30.2057
Greedy2,data/inputs/testcases_5_1.txt,16.3568
DP,data/inputs/testcases_5_1.txt,32.3829
BruteForce,data/inputs/testcases_5_1.txt,14.6749
Greedy1,data/inputs/testcases_5_2.txt,28.8368
Greedy2,data/inputs/testcases_5_2.txt,16.4619
DP,data/inputs/testcases_5_2.txt,19.7816
BruteForce,data/inputs/testcases_5_2.txt,17.128
Greedy1,data/inputs/testcases_5_3.txt,30.1352
Greedy2,data/inputs/testcases_5_3.txt,14.9142
DP,data/inputs/testcases_5_3.txt,39.7808
BruteForce,data/inputs/testcases_5_3.txt,15.96
Greedy1,data/inputs/testcases_8_1.txt,30.7535
Greedy2,data/inputs/testcases_8_1.txt,16.7692
DP,data/inputs/testcases_8_1.txt,55.8076
BruteForce,data/inputs/testcases_8_1.txt,16.4878
Greedy1,data/inputs/testcases_8_2.txt,32.6669
Greedy2,data/inputs/testcases_8_2.txt,16.4014
DP,data/inputs/testcases_8_2.txt,230.226
BruteForce,data/inputs/testcases_8_2.txt,17.9171
Greedy1,data/inputs/testcases_8_3.txt,33.28
Greedy2,data/inputs/testcases_8_3.txt,16.8141
DP,data/inputs/testcases_8_3.txt,19.3871
BruteForce,data/inputs/testcases_8_3.txt,16.2137
Greedy1,data/inputs/testcases_20_1.txt,33.9318
Greedy2,data/inputs/testcases_20_1.txt,16.382
DP,data/inputs/testcases_20_1.txt,189.815
Greedy1,data/inputs/testcases_20_2.txt,34.4921
Greedy2,data/inputs/testcases_20_2.txt,16.7498
DP,data/inputs/testcases_20_2.txt,433.673
Greedy1,data/inputs/testcases_20_3.txt,33.7037
Greedy2,data/inputs/testcases_20_3.txt,16.851
DP,data/inputs/testcases_20_3.txt,67.1255
Greedy1,data/inputs/testcases_40_1.txt,35.5456
Greedy2,data/inputs/testcases_40_1.txt,17.2236
DP,data/inputs/testcases_40_1.txt,173.182
Greedy1,data/inputs/testcases_40_2.txt,32.5868
Greedy2,data/inputs/testcases_40_2.txt,17.3263
DP,data/inputs/testcases_40_2.txt,895.183
Greedy1,data/inputs/testcases_40_3.txt,34.2001
Greedy2,data/inputs/testcases_40_3.txt,17.2051
DP,data/inputs/testcases_40_3.txt,70.6415
Greedy1,data/inputs/testcases_80_1.txt,29.0723
Greedy2,data/inputs/testcases_80_1.txt,16.2361
DP,data/inputs/testcases_80_1.txt,1129.76
Greedy1,data/inputs/testcases_80_2.txt,34.8569
Greedy2,data/inputs/testcases_80_2.txt,17.8515
DP,data/inputs/testcases_80_2.txt,253.177
Greedy1,data/inputs/testcases_80_3.txt,33.2364
Greedy2,data/inputs/testcases_80_3.txt,16.5545
DP,data/inputs/testcases_80_3.txt,461.93
Greedy1,data/inputs/testcases_100_1.txt,37.4768
Greedy2,data/inputs/testcases_100_1.txt,17.6706
DP,data/inputs/testcases_100_1.txt,468.284
Greedy1,data/inputs/testcases_100_2.txt,30.5281
Greedy2,data/inputs/testcases_100_2.txt,15.558
DP,data/inputs/testcases_100_2.txt,990.155
Greedy1,data/inputs/testcases_100_3.txt,36.0215
Greedy2,data/inputs/testcases_100_3.txt,17.7571
DP,data/inputs/testcases_100_3.txt,1235.59
Greedy1,data/inputs/testcases_150_1.txt,36.2364
Greedy2,data/inputs/testcases_150_1.txt,16.9764
DP,data/inputs/testcases_150_1.txt,703.933
Greedy1,data/inputs/testcases_150_2.txt,37.9643
Greedy2,data/inputs/testcases_150_2.txt,17.4309
DP,data/inputs/testcases_150_2.txt,1306.12
Greedy1,data/inputs/testcases_150_3.txt,36.0748
Greedy2,data/inputs/testcases_150_3.txt,18.2826
DP,data/inputs/testcases_150_3.txt,1649.83
Greedy1,data/inputs/testcases_200_1.txt,40.5125
Greedy2,data/inputs/testcases_200_1.txt,19.2051
DP,data/inputs/testcases_200_1.txt,2241.59
Greedy1,data/inputs/testcases_200_2.txt,43.7924
Greedy2,data/inputs/testcases_200_2.txt,17.8732
DP,data/inputs/testcases_200_2.txt,3051.19
Greedy1,data/inputs/testcases_200_3.txt,40.4846
Greedy2,data/inputs/testcases_200_3.txt,18.754
DP,data/inputs/testcases_200_3.txt,3198.43
